id,location,state,zip,type,length,pay_rate
R12345,San Francisco,CA,94103,City,15.3,$25.75/hr
R67890,Chicago,IL,60611,City,12.7,$24.50/hr
R24680,Austin,TX,78701,Rural,28.5,$22.80/hr
R13579,Miami,FL,33131,City,9.8,$23.40/hr
R97531,Seattle,WA,98101,Highway,35.2,$26.90/hr
R86420,Denver,CO,80202,City,14.1,$24.25/hr
R31415,Boston,MA,02108,City,10.5,$25.10/hr
R27182,Phoenix,AZ,85004,Rural,32.7,$23.15/hr
R16180,Atlanta,GA,30303,City,11.8,$23.70/hr
R14142,Portland,OR,97201,Rural,25.6,$22.50/hr
R11235,Las Vegas,NV,89101,City,8.5,$24.80/hr
R23456,Nashville,TN,37203,Rural,19.2,$22.30/hr
R34567,Philadelphia,PA,19103,City,13.4,$24.60/hr
R45678,San Diego,CA,92101,City,12.2,$25.40/hr
R56789,Minneapolis,MN,55401,Highway,29.8,$25.20/hr
R65432,Detroit,MI,48226,City,11.9,$23.80/hr
R54321,New Orleans,LA,70112,Rural,22.3,$22.70/hr
R43210,Houston,TX,77002,City,14.8,$24.10/hr
R32109,Salt Lake City,UT,84101,Rural,26.9,$23.25/hr
R21098,Kansas City,MO,64106,City,10.7,$23.50/hr
R10987,Columbus,OH,43215,City,9.9,$22.90/hr
R09876,Charlotte,NC,28202,Rural,18.7,$22.45/hr
R98765,Indianapolis,IN,46204,City,11.3,$23.30/hr
R87654,San Antonio,TX,78205,Rural,23.5,$22.60/hr
R76543,Sacramento,CA,95814,City,13.1,$25.15/hr
